codigo;ideb
4300034;
4300034;
4300059;4,5
4300059;4,5
4300109;
4300109;
4300208;4,2
4300208;4,2
4300307;4,8
4300307;4,8
4300406;3,6
4300406;
4300406;
4300406;3,7
4300455;3,6
4300455;3,6
4300505;4,7
4300505;4,7
4300554;4,6
4300554;4,6
4300570;4,5
4300570;4,5
4300604;2,9
4300604;
4300604;3,0
4300638;
4300638;
4300646;
4300646;
4300661;
4300661;
4300703;4,2
4300703;4,2
4300802;5,0
4300802;5,0
4300851;
4300851;
4300877;
4300877;
4300901;5,1
4300901;5,1
4301008;4,6
4301008;4,6
4301057;
4301057;
4301073;
4301073;
4301107;
4301107;
4301206;4,7
4301206;4,7
4301305;
4301305;
4301404;4,6
4301404;4,6
4301503;4,8
4301503;4,8
4301552;4,5
4301552;4,5
4301602;3,8
4301602;
4301602;
4301636;
4301636;
4301651;
4301651;
4301701;4,3
4301701;4,3
4301750;
4301750;
4301800;4,1
4301800;4,1
4301859;
4301859;
4301875;
4301875;
4301909;3,8
4301909;3,8
4301925;4,3
4301925;4,3
4301958;4,3
4301958;4,3
4302006;4,3
4302006;4,3
4302055;
4302055;
4302105;4,6
4302105;6,3
4302105;
4302105;4,9
4302154;
4302154;
4302204;5,1
4302204;5,1
4302220;4,8
4302220;4,8
4302238;4,0
4302238;4,0
4302253;
4302253;
4302303;
4302303;
4302352;4,5
4302352;4,5
4302378;4,2
4302378;4,2
4302402;
4302402;
4302451;4,0
4302451;4,0
4302501;
4302501;
4302501;
4302584;
4302584;
4302600;
4302600;
4302659;
4302659;
4302709;
4302709;
4302808;3,1
4302808;3,1
4302907;3,4
4302907;3,4
4303004;4,3
4303004;4,3
4303103;3,6
4303103;3,6
4303202;4,1
4303202;4,1
4303301;3,9
4303301;3,9
4303400;5,3
4303400;5,3
4303509;3,7
4303509;
4303509;4,0
4303558;4,5
4303558;4,5
4303608;
4303608;
4303673;
4303673;
4303707;5,5
4303707;5,5
4303806;5,2
4303806;5,2
4303905;3,6
4303905;3,6
4304002;
4304002;
4304101;4,0
4304101;4,0
4304200;4,3
4304200;4,3
4304309;
4304309;
4304358;3,7
